name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
United Cup,"Perth-Sydney, Australia","December 27, 2024","January 5, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/perth-sydney/9900/2025/country-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Brisbane International presented by ANZ,"Brisbane, Australia","December 29, 2024","January 5, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/brisbane/339/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Bank of China Hong Kong Tennis Open,"Hong Kong, Hong Kong","December 30, 2024","January 5, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/hong-kong/336/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Adelaide International,"Adelaide, Australia",6,"January 11, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/adelaide/8998/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
ASB Classic,"Auckland, New Zealand",6,"January 11, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/auckland/301/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Australian Open,"Melbourne, Australia",12,"January 26, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/australian-open/580/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Open Occitanie,"Montpellier, France",27 January,"February 2, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/montpellier/375/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Davis Cup Qualifiers 1st Rd,Multiple Locations,31 January,"February 2, 2025",,Indoor,,https://www.atptour.com/en/scores/archive/davis-cup-qualifiers-1st-rd/8096/2025/country-draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Dallas Open,"Dallas, United States",3,"February 9, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/dallas/424/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
ABN AMRO Open,"Rotterdam, Netherlands",3,"February 9, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/rotterdam/407/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Open 13 Provence,"Marseille, France",10,"February 16, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/marseille/496/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Delray Beach Open,"Delray Beach, United States",10,"February 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/delray-beach/499/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
IEB+ Argentina Open,"Buenos Aires, Argentina",10,"February 16, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/buenos-aires/506/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Qatar ExxonMobil Open,"Doha, Qatar",17,"February 22, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/doha/451/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Rio Open presented by Claro,"Rio de Janeiro, Brazil",17,"February 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/rio-de-janeiro/6932/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Dubai Duty Free Tennis Championships,"Dubai, United Arab Emirates",24 February,"March 1, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/dubai/495/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Abierto Mexicano Telcel presentado por HSBC,"Acapulco, Mexico",24 February,"March 1, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/acapulco/807/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
Bci Seguros ChileOpen,"Santiago, Chile",24 February,"March 2, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/santiago/8996/2025/draws,ATP Tour,https://www.atptour.com/en/-/tournaments/calendar/tour
