name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
Workday Canberra International,"Canberra, Australia","December 30, 2024","January 4, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/canberra/7393/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
BNC TENNIS OPEN,"Noumea, New Caledonia","December 30, 2024","January 4, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/noumea/2205/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bangkok Open 1,"Nonthaburi, Thailand","December 30, 2024","January 4, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/nonthaburi/2791/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bangkok Open 2,"Nonthaburi, Thailand",6,"January 11, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/nonthaburi/2795/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Indoor Oeiras Open 1,"Oeiras, Portugal",6,"January 11, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/oeiras/2831/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Nottingham Challenger,"Nottingham, Great Britain",6,"January 11, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/nottingham/2907/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Oeiras Indoor 2,"Oeiras, Portugal",13,"January 19, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/oeiras/2833/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bangkok Open 3,"Nonthaburi, Thailand",13,"January 19, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/nonthaburi/2801/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
AAT Challenger Santander Tigre,"Buenos Aires, Argentina",13,"January 19, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/buenos-aires/9678/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Punta del Este Open,"Punta del Este , Uruguay",20,"January 26, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/punta-del-este/2901/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Quimper Bretagne Occidentale,"Quimper, France",21,"January 26, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/quimper/6239/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Oeiras Open 3,"Oeiras, Portugal",21,"January 26, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/oeiras/2979/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Brasil Tennis Challenger,"Piracicaba, Brazil",27 January,"February 2, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/piracicaba/2835/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Koblenz Open,"Koblenz, Germany",27 January,"February 2, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/koblenz/7652/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Brisbane QTC Tennis International #1,"Brisbane, Australia",27 January,"February 2, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/brisbane/2967/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Cleveland Open,"Cleveland, United States",27 January,"February 2, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/cleveland/9154/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
YPF Rosario Challenger,"Rosario, Argentina",3,"February 9, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/rosario/2965/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Play In Challenger,"Lille, France",3,"February 9, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/lille/7874/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Chennai Open,"Chennai, India",3,"February 9, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/chennai/7849/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Brisbane QTC Tennis International #2,"Brisbane, Australia",3,"February 9, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/brisbane/2969/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Tenerife Challenger 1,"Tenerife, Spain",3,"February 9, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/tenerife/9623/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bahrain Ministry of Interior Tennis Challenger,"Manama, Bahrain",10,"February 15, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/manama/9635/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Delhi Open,"New Delhi, India",10,"February 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/new-delhi/6961/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Tenerife Challenger 2,"Tenerife, Spain",10,"February 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/tenerife/2839/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Terega Open Pau Pyrenees,"Pau, France",17,"February 23, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/pau/9162/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Pune Metropolitan Region Challenger,"Pune, India",17,"February 23, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/pune/7100/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Glasgow Challenger,"Glasgow, Great Britain",17,"February 23, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/glasgow/7916/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Brazzaville Challenger,"Brazzaville, Republic of Congo",17,"February 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/brazzaville/2961/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Dafa News Bengaluru Open,"Bengaluru, India",24 February,"March 2, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/bengaluru/7808/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
San Diego Open,"San Diego, United States",24 February,"March 2, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/san-diego/2971/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Rwanda Challenger - Kigali 1,"Kigali , Rwanda",24 February,"March 1, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/kigali/2913/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Challenger Città di Lugano,"Lugano, Switzerland",24 February,"March 2, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/lugano/9516/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Rwanda Challenger - Kigali 2,"Kigali, Rwanda",3,"March 9, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/kigali/2915/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
AAT Challenger Santander Córdoba,"Cordoba, Argentina",3,"March 9, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/cordoba/2981/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Thionville Open,"Thionville, France",3,"March 9, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/thionville/2973/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Crete Challenger 1,"Hersonissos, Greece",3,"March 9, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/hersonissos/2983/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Challenger De Santiago - Dove Men Care,"Santiago, Chile",10,"March 16, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/santiago/3406/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Challenger Cherbourg La Manche,"Cherbourg, France",10,"March 16, 2025",Hard,Indoor,,https://www.atptour.com/en/scores/archive/cherbourg/398/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Crete Challenger 2,"Hersonissos , Greece",10,"March 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/hersonissos/2985/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Arizona Tennis Classic,"Phoenix, United States",11,"March 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/phoenix/9167/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
"Republica Dominicana Open, Copa Cap Cana Ciudad Destino","Cap Cana, Dominican Republic",11,"March 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/cap-cana/2975/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Paraguay Open - Babolat,"Asuncion, Paraguay",17,"March 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/asuncion/2909/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Yucatan Open,"Merida, Mexico",17,"March 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/merida/2917/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Costa Cálida Region de Murcia,"Murcia, Spain",17,"March 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/murcia/9171/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Falkensteiner Punta Skala Zadar Open,"Zadar, Croatia",17,"March 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/zadar/9472/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Morelia Open,"Morelia , Mexico",24,"March 30, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/morelia/2991/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Napoli Tennis Cup,"Naples, Italy",24,"March 30, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/naples/2911/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Eurofirms Girona - Costa Brava,"Girona, Spain",24,"March 30, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/girona/2855/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Dove Men+Care Concepción,"Concepcion, Chile",24,"March 30, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/concepcion/9452/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Menorca,"Menorca, Spain",31 March,"April 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/menorca/2987/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Campeonato Internacional de Tenis,"Campinas, Brazil",31 March,"April 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/campinas/6307/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Morelos Open presentado por Metaxchange,"Morelos, Mexico",31 March,"April 6, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/morelos/6963/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Città della Disfida,"Barletta, Italy",31 March,"April 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/barletta/7494/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Mexico City Open,"Mexico City, Mexico",7,"April 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/mexico-city/8375/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Atkinsons Monza Open,"Monza, Italy",7,"April 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/monza/2989/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Grand Prix by Mercedes Benz Open Comunidad de Madrid,"Madrid, Spain",7,"April 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/madrid/9687/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Elizabeth Moore Sarasota Open,"Sarasota, United States",7,"April 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/sarasota/5069/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Busan Open,"Busan, South Korea",14,"April 20, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/busan/1741/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Oeiras Open 4,"Oeiras, Portugal",14,"April 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/oeiras/9514/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Banorte Tennis Open,"San Luis Potosi, Mexico",14,"April 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/san-luis-potosi/213/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Tallahassee Tennis Challenger,"Tallahassee, United States",14,"April 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/tallahassee/692/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Cote d'Ivoire Open 1,"Abidjan, Ivory Coast",14,"April 20, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/abidjan/2995/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Gwangju Open,"Gwangju, South Korea",21,"April 27, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/gwangju/7490/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Savannah Challenger,"Savannah, United States",21,"April 27, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/savannah/5067/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
AAT Challenger Santander Tucuman,"San Miguel de Tucuman , Argentina",21,"April 27, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/san-miguel-de-tucuman/2927/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Cote d'Ivoire Open 2,"Abidjan , Ivory Coast",21,"April 27, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/abidjan/2997/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Roma Garden Open,"Rome, Italy",21,"April 27, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/rome/2151/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Millennium Estoril Open,"Estoril, Portugal",27 April,"May 4, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/estoril/7290/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
