name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
M25 Bali,"Bali, Indonesia","December 30, 2024","January 5, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Indore,"Indore, India","December 30, 2024","January 5, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Bhopal,"Bhopal, India",6,"January 12, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Hazebrouck,"Hazebrouck, France",6,"January 12, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Ithaca,"Ithaca, United States",6,"January 12, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Antalya,"Antalya, Turkiye",6,"January 12, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Kingston,"Kingston, Jamaica",6,"January 12, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Manacor,"Manacor, Spain",6,"January 12, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Oslo,"Oslo, Norway",6,"January 12, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Monastir,"Monastir, Tunisia",6,"January 12, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Chennai,"Chennai, India",13,"January 19, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Antalya,"Antalya, Turkiye",13,"January 19, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Bressuire,"Bressuire, France",13,"January 19, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Cadolzburg,"Cadolzburg, Germany",13,"January 19, 2025",Carpet,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Doha,"Doha, Qatar",13,"January 19, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Kingston,"Kingston, Jamaica",13,"January 19, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Manacor,"Manacor, Spain",13,"January 19, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Monastir,"Monastir, Tunisia",13,"January 19, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Santiago,"Santiago, Chile",13,"January 19, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Doha,"Doha, Qatar",20,"January 26, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Esch Alzette,"Esch-sur-Alzette, Luxembourg",20,"January 26, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Nussloch,"Nussloch, Germany",20,"January 26, 2025",Carpet,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Sunderland,"Sunderland, Great Britain",20,"January 26, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Antalya,"Antalya, Turkiye",20,"January 26, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Manacor,"Manacor, Spain",20,"January 26, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Monastir,"Monastir, Tunisia",20,"January 26, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Santiago,"Santiago, Chile",20,"January 26, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15+H Bagnoles de l'Orne,"Bagnoles de l'Ome, France",20,"January 26, 2025",Clay,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Antalya,"Antalya, Turkiye",27 January,"February 2, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Glasgow,"Glasgow, Great Britain",27 January,"February 2, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Huamantla,"Huamantla, Mexico",27 January,"February 2, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Monastir,"Monastir, Tunisia",27 January,"February 2, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
"M15 Palm Coast, FL","Palm Coast, United States",27 January,"February 2, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Sharm ElSheikh,"Sharm ElSheikh, Egypt",27 January,"February 2, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Zahra,"Zahra, Kuwait",27 January,"February 2, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Antalya,"Antalya, Turkiye",3,"February 9, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Huamantla,"Huamantla, Mexico",3,"February 9, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Monastir,"Monastir, Tunisia",3,"February 9, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Sharm ElSheikh,"Sharm ElSheikh, Egypt",3,"February 9, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
"M15 Sunrise, FL","Sunrise, United States",3,"February 9, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Valencia,"Valencia, Spain",3,"February 9, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Zahra,"Zahra, Kuwait",3,"February 9, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Punta del Este,"Punta del Este, Uruguay",10,"February 16, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Roehampton,"Roehampton, Great Britain",10,"February 16, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Timaru,"Timaru, New Zealand",10,"February 16, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M25 Vila Real de Santo Antonio,"Vila Real de Santo Antonio, Portugal",10,"February 16, 2025",Hard,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Antalya,"Antalya, Turkiye",10,"February 16, 2025",Clay,Outdoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
M15 Bucharest,"Bucharest, Romania",10,"February 16, 2025",Hard,Indoor,,,ITF,https://www.atptour.com/en/-/tournaments/calendar/futures
